Food Type,Name,Opening Hours,Google Maps Link
,Pasar Lebuh Cecil,Mon 07:30-15:30; Tue 07:30-18:30; Wed 07:30-18:30; Thu 07:30-18:30; Fri 07:30-18:30; Sat 07:30-18:30; Sun 07:30-18:30,"https://www.google.com/maps/place/Pasar+Lebuh+Cecil/@5.4069349,100.3278229,17.68z/data=!4m6!3m5!1s0x304ac3ad1f106079:0xa55f58f1d44a7d1e!8m2!3d5.4073154!4d100.3291601!16s/g/11y4txt4js?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,Pulau Tikus Market Hidden Food Court,,"https://www.google.com/maps/place/Pulau+Tikus+Market+Hidden+Food+Court/@5.4308614,100.3117591,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac36022d9f0ad:0xa426e2664375ce16!8m2!3d5.4308614!4d100.3117591!16s/g/11gjt41gzp?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,三條路美食街,,"https://www.google.com/maps/place/三條路美食街/@5.4111445,100.3287748,18z/data=!4m6!3m5!1s0x304ac394dec12605:0xfae5527269a59fba!8m2!3d5.4111446!4d100.3304601!16s/g/1ptz4nzrh?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,汕頭街夜市,,"https://www.google.com/maps/place/汕頭街夜市/@5.4163993,100.3326818,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac396b6979b77:0x7a294ae9e80e93c9!8m2!3d5.4163993!4d100.3326818!16s/g/11bxfrmh3m?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,紐冷街小吃街,,"https://www.google.com/maps/place/紐冷街小吃街/@5.4148035,100.3265211,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3be119b4b0b:0xd6417012de525c17!8m2!3d5.4148035!4d100.3265211!16s/g/1hc3qb4y5?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
茶室,RELAU 88,Mon Closed; Tue Closed; Wed 11:30-18:00; Thu 11:30-18:00; Fri 11:30-18:00; Sat 11:30-18:00; Sun 11:30-18:00,"https://www.google.com/maps/place/RELAU+88/@5.3368475,100.275235,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac03a4f3379d9:0x6fbe1501d91d9a2d!8m2!3d5.3368475!4d100.275235!16s/g/11d_bgc3kt?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,廣泰來茶室,Mon 07:30-15:30; Tue 07:30-15:30; Wed 07:30-15:30; Thu 07:30-15:30; Fri 07:30-15:30; Sat 07:30-15:30; Sun Closed,"https://www.google.com/maps/place/廣泰來茶室/@5.4192674,100.3304331,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac390aa057e93:0x45836b93ff5ae0e6!8m2!3d5.4192674!4d100.3304331!16s/g/11c1rv21ml?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,敦隆餐室,Mon 07:00-15:00; Tue 07:00-15:00; Wed 07:00-15:00; Thu 07:00-15:00; Fri 07:00-15:00; Sat 07:00-15:00; Sun Closed,"https://www.google.com/maps/place/敦隆餐室/@5.4214657,100.33081,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac399c6387e67:0x97fc29695fce20a6!8m2!3d5.4214657!4d100.33081!16s/g/11btrrjlyb?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,新國泰茶室,Mon 07:00-12:00; Tue 07:00-12:00; Wed 07:00-12:00; Thu 07:00-12:00; Fri 07:00-12:00; Sat 07:00-12:00; Sun Closed,"https://www.google.com/maps/place/新國泰茶室/@5.4307536,100.3062627,16.96z/data=!4m6!3m5!1s0x304ac300ca01f22d:0x3c8ff4968815914a!8m2!3d5.4323447!4d100.3095199!16s/g/12qfp96kc?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,瑞江茶室,Mon 06:30-15:00; Tue 06:30-15:00; Wed 06:30-15:00; Thu Closed; Fri 06:30-15:00; Sat 06:30-15:00; Sun 06:30-13:00,"https://www.google.com/maps/place/瑞江茶室/@5.430508,100.3126001,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3a9d025cae9:0x5f1335928ad178b3!8m2!3d5.430508!4d100.3126001!16s/g/11bzs3hy_h?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,金咖啡,Mon 07:00-14:30; Tue 07:00-14:30; Wed 07:00-14:30; Thu 07:00-14:30; Fri 07:00-14:30; Sat 07:00-14:30; Sun Closed,"https://www.google.com/maps/place/金咖啡/@5.414419,100.3185132,17.75z/data=!4m6!3m5!1s0x304ac32723ef67d7:0x6eeedca2ef7a5b29!8m2!3d5.4155548!4d100.3204094!16s/g/11g1mvg66z?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,順園茶餐室,Mon 06:00-12:00; Tue 06:00-12:00; Wed Closed; Thu 06:00-12:00; Fri 06:00-12:00; Sat 06:00-12:00; Sun 06:00-12:00,"https://www.google.com/maps/place/順園茶餐室/@5.4178388,100.3320438,17.92z/data=!4m6!3m5!1s0x304ac396da8e1b5b:0x2127bc84f4eb465f!8m2!3d5.4176938!4d100.3324766!16s/g/12qhfb01g?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
